num_symbols,prec,rec,f1,AER
100,0.494,0.459,0.476,0.524
200,0.504,0.536,0.52,0.481
500,0.517,0.528,0.522,0.478
1000,0.485,0.459,0.472,0.528
2000,0.404,0.416,0.41,0.59
4000,0.321,0.384,0.35,0.651
8000,0.242,0.359,0.289,0.712
