num_symbols,prec,rec,f1,AER
100,0.687,0.287,0.405,0.594
200,0.749,0.328,0.456,0.543
500,0.771,0.332,0.464,0.535
1000,0.776,0.261,0.391,0.609
2000,0.702,0.205,0.317,0.681
4000,0.627,0.137,0.225,0.774
8000,0.492,0.1,0.166,0.833
