num_symbols,prec,rec,f1,AER
1000,0.573,0.603,0.588,0.413
100,0.525,0.553,0.538,0.462
2000,0.577,0.607,0.592,0.408
4000,0.58,0.608,0.594,0.406
500,0.574,0.602,0.588,0.413
8000,0.56,0.617,0.587,0.414
