num_symbols,prec,rec,f1,AER
1000,0.539,0.655,0.591,0.41
100,0.457,0.554,0.501,0.5
2000,0.537,0.642,0.585,0.416
4000,0.535,0.63,0.579,0.422
500,0.524,0.654,0.582,0.419
8000,0.551,0.632,0.589,0.412
