num_symbols,prec,rec,f1,AER
100,0.287,0.628,0.394,0.609
200,0.247,0.742,0.371,0.634
500,0.218,0.795,0.342,0.664
1000,0.191,0.791,0.308,0.699
2000,0.164,0.802,0.272,0.734
4000,0.133,0.814,0.229,0.778
8000,0.109,0.843,0.193,0.812
