num_symbols,prec,rec,f1,AER
100,0.688,0.256,0.373,0.626
200,0.703,0.338,0.457,0.542
500,0.756,0.382,0.508,0.491
1000,0.756,0.352,0.48,0.519
2000,0.764,0.314,0.445,0.554
4000,0.766,0.287,0.418,0.582
