num_symbols,prec,rec,f1,AER
100,0.808,0.167,0.277,0.722
200,0.828,0.208,0.332,0.666
500,0.879,0.226,0.36,0.639
1000,0.879,0.197,0.322,0.677
2000,0.884,0.17,0.285,0.714
4000,0.89,0.138,0.239,0.759
