num_symbols,prec,rec,f1,AER
100,0.284,0.607,0.387,0.616
200,0.252,0.714,0.373,0.632
500,0.224,0.795,0.35,0.656
1000,0.197,0.818,0.318,0.689
2000,0.179,0.825,0.294,0.712
4000,0.172,0.826,0.285,0.722
