num_symbols,prec,rec,f1,AER
1000,0.581,0.606,0.593,0.407
100,0.541,0.565,0.553,0.447
2000,0.562,0.619,0.589,0.412
4000,0.557,0.621,0.587,0.413
500,0.587,0.607,0.597,0.403
8000,0.562,0.625,0.592,0.409
