num_symbols,prec,rec,f1,AER
100,0.486,0.596,0.535,0.465
1000,0.567,0.658,0.609,0.392
2000,0.571,0.639,0.603,0.397
4000,0.578,0.641,0.608,0.393
500,0.55,0.669,0.604,0.397
8000,0.576,0.638,0.605,0.395
