num_symbols,prec,rec,f1,AER
1000,0.574,0.601,0.587,0.413
100,0.511,0.541,0.526,0.474
2000,0.575,0.607,0.591,0.409
4000,0.575,0.605,0.59,0.41
500,0.567,0.599,0.582,0.418
8000,0.561,0.616,0.588,0.413
