num_symbols,prec,rec,f1,AER
1000,0.534,0.652,0.587,0.414
100,0.478,0.566,0.518,0.482
2000,0.561,0.638,0.597,0.404
4000,0.545,0.636,0.587,0.414
500,0.518,0.656,0.579,0.423
8000,0.525,0.626,0.571,0.43
