num_symbols,prec,rec,f1,AER
1000,0.521,0.644,0.576,0.425
100,0.494,0.566,0.528,0.473
2000,0.538,0.638,0.584,0.417
4000,0.538,0.627,0.579,0.421
500,0.517,0.647,0.575,0.426
8000,0.534,0.623,0.575,0.426
