num_symbols,prec,rec,f1,AER
100,0.301,0.715,0.424,0.581
500,0.288,0.82,0.426,0.579
1000,0.289,0.829,0.429,0.577
2000,0.278,0.834,0.417,0.589
4000,0.281,0.835,0.42,0.585
8000,0.31,0.817,0.449,0.556
