num_symbols,prec,rec,f1,AER
1000,0.536,0.655,0.59,0.411
100,0.459,0.556,0.503,0.498
2000,0.533,0.643,0.582,0.419
4000,0.54,0.631,0.582,0.419
500,0.522,0.654,0.581,0.421
8000,0.551,0.63,0.588,0.413
