num_symbols,prec,rec,f1,AER
100,0.629,0.491,0.551,0.448
500,0.768,0.581,0.662,0.337
1000,0.785,0.578,0.666,0.333
2000,0.816,0.557,0.662,0.337
4000,0.815,0.543,0.652,0.347
8000,0.779,0.553,0.647,0.352
