num_symbols,prec,rec,f1,AER
100,0.583,0.522,0.551,0.449
500,0.716,0.614,0.661,0.338
1000,0.736,0.608,0.666,0.333
2000,0.769,0.592,0.669,0.33
4000,0.772,0.578,0.661,0.338
8000,0.734,0.585,0.651,0.348
