num_symbols,prec,rec,f1,AER
100,0.568,0.398,0.468,0.531
200,0.611,0.465,0.528,0.471
500,0.621,0.456,0.526,0.474
1000,0.603,0.375,0.462,0.536
2000,0.52,0.32,0.396,0.602
4000,0.434,0.258,0.324,0.675
8000,0.337,0.221,0.267,0.731
