num_symbols,prec,rec,f1,AER
100,0.359,0.563,0.438,0.561
200,0.347,0.616,0.444,0.556
500,0.375,0.651,0.476,0.524
1000,0.388,0.66,0.489,0.512
2000,0.387,0.665,0.489,0.511
4000,0.381,0.673,0.487,0.513
6000,0.388,0.671,0.492,0.508
8000,0.383,0.672,0.488,0.512
