num_symbols,prec,rec,f1,AER
100,0.538,0.434,0.48,0.519
200,0.577,0.454,0.508,0.492
500,0.619,0.493,0.549,0.451
1000,0.625,0.506,0.559,0.44
2000,0.631,0.505,0.561,0.439
4000,0.639,0.504,0.564,0.436
6000,0.635,0.505,0.563,0.437
8000,0.636,0.504,0.562,0.438
