num_symbols,prec,rec,f1,AER
100,0.454,0.2,0.278,0.722
200,0.572,0.233,0.331,0.668
500,0.674,0.231,0.344,0.656
1000,0.696,0.223,0.338,0.662
2000,0.676,0.2,0.309,0.691
4000,0.675,0.182,0.287,0.714
