num_symbols,prec,rec,f1,AER
100,0.599,0.449,0.513,0.486
200,0.634,0.472,0.541,0.458
500,0.671,0.491,0.567,0.432
1000,0.683,0.5,0.577,0.422
6000,0.673,0.545,0.602,0.397
8000,0.679,0.54,0.602,0.398
