num_symbols,prec,rec,f1,AER
100,0.304,0.685,0.421,0.583
200,0.298,0.741,0.425,0.58
500,0.288,0.784,0.421,0.584
1000,0.289,0.788,0.423,0.583
6000,0.305,0.78,0.439,0.566
8000,0.318,0.768,0.45,0.555
