num_symbols,prec,rec,f1,AER
100,0.343,0.614,0.44,0.563
200,0.345,0.633,0.447,0.557
500,0.343,0.665,0.453,0.551
1000,0.355,0.669,0.464,0.539
6000,0.39,0.695,0.5,0.504
8000,0.395,0.697,0.504,0.499
