num_symbols,prec,rec,f1,AER
100,0.486,0.525,0.505,0.496
200,0.51,0.538,0.524,0.476
500,0.529,0.566,0.547,0.454
1000,0.543,0.583,0.562,0.438
6000,0.54,0.62,0.577,0.423
8000,0.541,0.622,0.579,0.422
