num_symbols,prec,rec,f1,AER
100,0.592,0.484,0.533,0.467
200,0.635,0.543,0.585,0.414
500,0.707,0.569,0.631,0.369
1000,0.741,0.556,0.635,0.364
6000,0.736,0.543,0.625,0.374
8000,0.717,0.544,0.619,0.38
