num_symbols,prec,rec,f1,AER
100,0.698,0.375,0.488,0.511
200,0.742,0.403,0.522,0.477
500,0.783,0.421,0.548,0.451
1000,0.781,0.44,0.563,0.436
6000,0.768,0.478,0.589,0.409
8000,0.764,0.484,0.593,0.406
