num_symbols,prec,rec,f1,AER
100,0.198,0.473,0.279,0.721
200,0.211,0.563,0.307,0.693
500,0.201,0.587,0.299,0.701
1000,0.204,0.593,0.304,0.697
2000,0.201,0.596,0.301,0.699
4000,0.202,0.588,0.301,0.7
