num_symbols,prec,rec,f1,AER
100,0.612,0.435,0.509,0.491
200,0.657,0.459,0.54,0.459
500,0.701,0.483,0.572,0.427
1000,0.722,0.491,0.585,0.415
2000,0.724,0.499,0.591,0.408
4000,0.732,0.511,0.602,0.397
8000,0.728,0.52,0.607,0.392
