num_symbols,prec,rec,f1,AER
100,0.63,0.351,0.451,0.549
200,0.676,0.366,0.475,0.525
500,0.692,0.414,0.518,0.482
1000,0.699,0.427,0.53,0.47
2000,0.703,0.426,0.531,0.47
4000,0.713,0.423,0.531,0.469
6000,0.708,0.425,0.531,0.469
8000,0.708,0.424,0.53,0.47
