num_symbols,prec,rec,f1,AER
100,0.522,0.538,0.53,0.47
200,0.554,0.596,0.574,0.426
500,0.612,0.623,0.617,0.382
1000,0.638,0.61,0.624,0.376
6000,0.647,0.597,0.621,0.379
8000,0.635,0.597,0.615,0.384
