num_symbols,prec,rec,f1,AER
100,0.508,0.649,0.57,0.431
1000,0.694,0.689,0.691,0.308
200,0.592,0.672,0.629,0.371
2000,0.715,0.68,0.697,0.303
4000,0.717,0.669,0.692,0.308
500,0.672,0.685,0.678,0.322
6000,0.734,0.67,0.701,0.299
8000,0.728,0.665,0.695,0.304
