num_symbols,prec,rec,f1,AER
100,0.5,0.502,0.501,0.499
200,0.516,0.52,0.518,0.482
500,0.535,0.55,0.542,0.458
1000,0.547,0.567,0.557,0.444
2000,0.543,0.594,0.567,0.433
4000,0.543,0.603,0.571,0.429
8000,0.547,0.608,0.576,0.425
