num_symbols,prec,rec,f1,AER
100,0.538,0.538,0.538,0.462
200,0.493,0.593,0.538,0.462
500,0.427,0.593,0.496,0.504
1000,0.322,0.574,0.413,0.588
2000,0.222,0.559,0.318,0.682
