num_symbols,prec,rec,f1,AER
100,0.41,0.514,0.456,0.545
1000,0.312,0.506,0.386,0.616
200,0.406,0.578,0.477,0.524
2000,0.23,0.498,0.315,0.688
4000,0.169,0.486,0.251,0.753
500,0.384,0.555,0.454,0.548
8000,0.134,0.478,0.209,0.794
