num_symbols,prec,rec,f1,AER
100,0.287,0.345,0.313,0.687
200,0.34,0.395,0.365,0.634
500,0.368,0.396,0.381,0.618
1000,0.373,0.378,0.375,0.625
2000,0.347,0.351,0.349,0.651
4000,0.34,0.336,0.338,0.662
