num_symbols,prec,rec,f1,AER
100,0.477,0.473,0.475,0.525
200,0.504,0.506,0.505,0.495
500,0.542,0.541,0.541,0.459
1000,0.548,0.546,0.547,0.453
2000,0.55,0.55,0.55,0.45
4000,0.552,0.545,0.548,0.451
6000,0.55,0.544,0.547,0.453
8000,0.554,0.548,0.551,0.449
