num_symbols,prec,rec,f1,AER
100,0.245,0.324,0.279,0.721
200,0.244,0.35,0.288,0.712
500,0.215,0.322,0.258,0.742
1000,0.157,0.29,0.204,0.797
2000,0.13,0.289,0.179,0.82
