num_symbols,prec,rec,f1,AER
100,0.641,0.447,0.527,0.473
200,0.594,0.523,0.556,0.444
500,0.594,0.566,0.58,0.42
1000,0.53,0.555,0.542,0.458
2000,0.437,0.524,0.477,0.523
