num_symbols,prec,rec,f1,AER
100,0.285,0.267,0.276,0.724
200,0.291,0.305,0.298,0.702
500,0.323,0.318,0.32,0.68
1000,0.301,0.3,0.3,0.7
2000,0.253,0.278,0.265,0.735
