num_symbols,prec,rec,f1,AER
100,0.275,0.631,0.383,0.62
200,0.242,0.735,0.364,0.64
500,0.217,0.812,0.342,0.664
1000,0.188,0.815,0.306,0.7
2000,0.165,0.822,0.275,0.731
4000,0.149,0.824,0.252,0.753
