num_symbols,prec,rec,f1,AER
100,0.788,0.202,0.322,0.678
200,0.802,0.263,0.396,0.603
500,0.866,0.284,0.428,0.572
1000,0.853,0.219,0.349,0.652
2000,0.857,0.175,0.291,0.708
4000,0.806,0.119,0.207,0.792
