num_symbols,prec,rec,f1,AER
0,0.574,0.628,0.6,0.4
10000,0.541,0.625,0.58,0.421
1000,0.5,0.633,0.559,0.442
100,0.458,0.569,0.508,0.493
2000,0.551,0.643,0.593,0.407
200,0.494,0.612,0.547,0.454
3000,0.554,0.633,0.591,0.41
4000,0.51,0.622,0.56,0.44
500,0.523,0.661,0.584,0.417
8000,0.535,0.635,0.581,0.42
