num_symbols,prec,rec,f1,AER
100,0.311,0.555,0.399,0.604
200,0.274,0.67,0.389,0.615
500,0.242,0.748,0.366,0.64
1000,0.23,0.766,0.354,0.651
2000,0.201,0.798,0.321,0.685
4000,0.196,0.807,0.315,0.691
