num_symbols,prec,rec,f1,AER
100,0.82,0.14,0.239,0.76
200,0.841,0.15,0.255,0.745
500,0.865,0.148,0.253,0.747
1000,0.89,0.143,0.246,0.754
2000,0.884,0.135,0.234,0.766
4000,0.899,0.136,0.236,0.763
6000,0.883,0.121,0.213,0.786
8000,0.894,0.122,0.215,0.785
