num_symbols,prec,rec,f1,AER
100,0.315,0.554,0.402,0.601
200,0.301,0.606,0.402,0.6
500,0.258,0.705,0.378,0.626
1000,0.249,0.725,0.371,0.634
2000,0.225,0.77,0.348,0.658
4000,0.219,0.767,0.341,0.665
6000,0.207,0.78,0.327,0.678
8000,0.199,0.793,0.318,0.688
14000,0.202,0.771,0.32,0.685
20000,0.198,0.774,0.315,0.69
