num_symbols,prec,rec,f1,AER
100,0.58,0.327,0.418,0.581
200,0.557,0.377,0.45,0.549
500,0.553,0.463,0.504,0.495
1000,0.559,0.485,0.519,0.481
2000,0.517,0.525,0.521,0.479
4000,0.535,0.523,0.529,0.471
6000,0.51,0.525,0.517,0.483
8000,0.5,0.52,0.51,0.49
